fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-07","2024/2025-62 AM1","FIRST AMENDMENT TO AGREEMENT FOR PUBLIC SAFETY RADIO TOWER REPLACEMENT AT SLEEPY HOLLOW AND MULTIPROTOCOL LABEL SWITCHING (MPLS) - MOTOROLA","Motorola Solutions","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-62","https://dmcc.clayclerk.com/Documents/Download/18598","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-07","2025/2026-0129","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - HUB JAX USAP GOLDEN TICKET",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17624","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-07","2025/2026-0130","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - AMERICAN JUNIOR GOLF ASSOCIATION",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17623","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-07","2025/2026-0131","AGREEMENT FOR PHYSICALS AND DRUG TESTING FOR NON-UNION AND PUBLIC SAFETY PERSONNEL - LIFE EXTENSION CLINICS","LIFE EXTENSION CLINICS","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18610","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-07","2025/2026-0132","AGREEMENT FOR PHYSICALS AND DRUG TESTING FOR NON-UNION AND PUBLIC SAFETY PERSONNEL - URGENT LAB","URGENT LAB","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17627","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-08","2022/2023-210 RN1","FIRST RENEWAL TO SHIP DOWN PAYMENT ASSISTANCE FUNDING AGREEMENT - HOUSING FINANCE AUTHORITY OF CLAY COUNTY - SHIP DOWN PAYMENT ASSISTANCE FUNDING AGREEMENT",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2022/2023-210","https://dmcc.clayclerk.com/Documents/Download/18585","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-08","2024/2025-66 AM2","SECOND AMENDMENT TO INTERLOCAL - CLAY COUNTY, FL AND CITY OF GCS, FLORIDA - USE OF COUNTY'S GRANT STAFF FOR GRANT RESEARCH AND WRITING ASSISTANCE",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-66","https://dmcc.clayclerk.com/Documents/Download/17629","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-10","2025/2026-0134","AGREEMENT FOR PHYSICALS AND DRUG TESTING FOR NON-UNION AND PUBLIC SAFETY PERSONNEL - PHYSICALS AND DRUG TESTING","PHYSICALS AND DRUG TESTING","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18583","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-10","2025/2026-0135","AGREEMENT FOR PHYSICALS AND DRUG TESTING FOR NON-UNION AND PUBLIC SAFETY PERSONNEL - ST. VINCENTS FULL SERVICE URGENT CARE","ST. VINCENTS FULL SERVICE URGENT CARE","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18607","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-10","2025/2026-0137","LINKEDIN CORPORATION - LIBRARY ACCESS - LEARNING CONTENT","LinkedIn Corporation","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18582","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-10","2025/2026-0138","AGREEMENT FOR PHYSICALS AND DRUG TESTING FOR NON-UNION AND PUBLIC SAFETY PERSONNEL - CLAYMED OF NORT FLORIDA","CLAYMED OF NORT FLORIDA","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18591","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-13","2025/2026-0136","AGREEMENT FOR STORMWATER POND MOWING SERVICES - NORTH FLORIDA LAWN MAINTENANCE","NORTH FLORIDA LAWN MAINTENANCE","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18588","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-14","2019/2020-113 AM9","TYLER TECHNOLOGIES - REMOVE SERVICES NOT UTILIZED BY COUNTY","Tyler Technologies","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-113","https://dmcc.clayclerk.com/Documents/Download/18604","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-14","2020/2021-219 WO4","FDOT HIGHWAY LIGHTING WORKORDER",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2020/2021-219 WO4","https://dmcc.clayclerk.com/Documents/Download/18605","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-14","2022/2023-182 RN2","SECOND RENEWAL TO AGREEMENT FOR AMERICAN SIGN LANGUAGE INTERPRETTING SERVICES - ALONZO SIGN LANGUAGE","ALONZO SIGN LANGUAGE","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-182","https://dmcc.clayclerk.com/Documents/Download/18594","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-0109","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT SPORTS EVENT GRANT FUNDING AGREEMENT - CLAY COUNTY SOCCER CLUB",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18595","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-0118","LETTER OF INTENT TO ACQUIRE 44+ ACRES OF PROPERTY IN GREEN COVE SPRINGS, FLORIDA - CLAY COUNTY",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18606","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-0133","PERRY WEATHER - SOFTWARE - OUTDDOR WARNING - LIGHTING DETECTION AND ALARM DEVICE FOR REGIONAL SPORTS COMPLEX","Perry Weather","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18586","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-0144","AGREEMENT FOR DISASTER DEBRIS REMOVAL SERVICES [PRIMARY CONTRACTOR] - TFR, INC","TFR, INC","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18599","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-0145","AGREEMENT FOR DISASTER DEBRIS REMOVAL SERVICES [SECONDARY CONTRACTOR] - CROWDERGULF DEBRIS REMOVAL","CROWDERGULF DEBRIS REMOVAL","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18602","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-0146","AGREEMENT FOR DISASTER DEBRIS REMOVAL SERVICES - [TERTIARY CONTRACTOR] - TERTIARY","TERTIARY","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18611","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-14","2025/2026-142","LANDSCAPE AND MAINTENANCE AGREEMENT - FLEMING ISLAND FAMILY CHIROPRACTIC, INC","FLEMING ISLAND FAMILY CHIROPRACTIC, INC","Other",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18820","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-15","2023/2024-193 RN2","SECONF RENEWAL TO AGREEMENT FOR PADDLEBOARD AND KAYAK RENTAL STATIONS - RN2 PADL, LLC","RN2 PADL, LLC","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-193","https://dmcc.clayclerk.com/Documents/Download/18696","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-15","2025/2026-0140","INTERLOCAL AGREEMENT FOR U.S. HUD SECTION 8 HOUSING ASSISTANCE PROGRAM, OFFICE SPACE LEASE, AND BUILDING INSPECTION SERVICES - FLAGLER HOUSING AUTHORITY",,"Engineering & Professional Services","Other Professional Services","CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18590","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-17","2025/2026-0161","GRANT AGREEMENT FOR NONPROFIT FUNDING UNDER THE COUNTY’S COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) PROGRAM - IMPACT CLAY",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18668","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-17","2025/2026-0162","GRANT AGREEMENT FOR NONPROFIT FUNDING UNDER THE COUNTY’S COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) PROGRAM - SEEDS OF GRACE",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18673","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-20","2025/2026-0143","AGREEMENT FOR MOODY PARK NATIONAL FITNESS CAMPAIGN SLAB - JAX UTILITIES MANAGEMENT","JAX UTILITIES MANAGEMENT","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18596","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-21","2017/2018-69A EXT6","SIXTH EXTENSION TO INTELLIGENT MIDDLEWARE SOFTWARE DEVELOPMENT KIT LICENSE AGREEMENT - MOTIROLA SOLUTIONS","Motorola Solutions","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2017/2018-69A","https://dmcc.clayclerk.com/Documents/Download/18762","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-21","2024/2025-72 AM7","SEVENTH AMENDMENT TO AGREEMENT FOR CLAY COUNTY ANIMAL SERVICES SHELTER AND CARE FACILITY - E. VAUGHN RIVERS","E. VAUGHN RIVERS","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-72","https://dmcc.clayclerk.com/Documents/Download/18618","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-23","2023/2024-173 RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES - POND AND COMPANY","POND AND COMPANY","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-173","https://dmcc.clayclerk.com/Documents/Download/18625","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-23","2025/2026-0147","AGREEMENT FOR THE PURCHASE AND INSTALLATION AGREEMENT FOR THE PURCHASE AND INSTALLATION - COMMERCIAL DESIGN SERVICES",,"Other",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18613","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-28","2021/2022-182 AM2 RN2","SECOND AMENDMENT AND RENEWAL TO SHIP GRANT FUNDING AGREEMENT 2021/2022-182 WITH MERCY SUPPORT SERVICES",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2021/2022-182","https://dmcc.clayclerk.com/Documents/Download/18674","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-28","2023/2024-172-RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES - CPH CONSULTING","CPH CONSULTING","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-172-RN1","https://dmcc.clayclerk.com/Documents/Download/18614","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-28","2023/2024-269 AM3","UKG KRONOS SYSTEMS - ADDITIONAL SOFTWARE","UKG","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-269","https://dmcc.clayclerk.com/Documents/Download/18641","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-28","2023/2024-328 RN2","CARASHOFT GRANICUS - AGENDA AUTOMATION AND MEETING MANAGEMENT","Granicus / Carahsoft","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-328","https://dmcc.clayclerk.com/Documents/Download/18636","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-28","2024/2025-229 RN1","FIRST AMENDMENT AND RENEWAL TO AGREEMENT FOR CAMP CHOWENWAW PARK SWIMMING POOL MANAGEMENT, LIFEGUARD STAFFING, AND SWIM INSTRUCTION - ONE STOP AQUATIC SAFETY","ONE STOP AQUATIC SAFETY","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-229","https://dmcc.clayclerk.com/Documents/Download/18620","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-28","2025/2026-0069","ADAMS REMCO US BANK COPIER LEASE",,"Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18621","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-28","2025/2026-0139","FLORIDAS FIRST COAST OF GOLF - INVESTMENT REQUEST FY25","INVESTMENT REQUEST FY25","Tourism/Marketing",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18615","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-28","2025/2026-0151","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - DUMPSTERDUDEZ","DUMPSTERDUDEZ","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18626","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-28","2025/2026-0152","FRANCHISE AGREEMENT FOR CONTAINER SERVICE - BEE DUMPSTER HAULING","BEE DUMPSTER HAULING","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18651","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-28","2025/2026-0155","FLORIDAS FIRST COAST OF GOLF - FY26 CLAY MILITARY CAMPAIGN","FY26 CLAY MILITARY CAMPAIGN","Tourism/Marketing",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18659","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-04-30","2023/2024-171 RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES- PASSERO ASSOCIATES",,"Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2023/2024-171","https://dmcc.clayclerk.com/Documents/Download/18617","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-30","2025/2026-0148","NORTHEAST FLORIDA SAFETY AND HEALTH - BUCKET TRUCK OPERATOR TRAINING","BUCKET TRUCK OPERATOR TRAINING","Training/Education",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18616","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-04-30","2025/2026-0149","AGREEMENT FOR PHYSICALS AND DRUG TESTING FOR NON-UNION AND PUBLIC SAFETY PERSONNEL - CORPORATE HEALTH DBS PATH-PHYSICALS","CORPORATE HEALTH DBS PATH-PHYSICALS","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18619","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-05-04","2025/2026-0153","AGREEMENT FOR INSTALLATION OF NATIONAL FITNESS CAMPAIGN OUTDOOR FITNESS COURT AT MOODY AVENUE PARK - NATIONWIDE FIXTURE INSTALLATIONS","NATIONWIDE FIXTURE INSTALLATIONS","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18637","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-05-06","2023/2024-190 AM1","FIRST AMENDMENT TO AGREEMENT FOR CONSTRUCTION OF IMPROVEMENTS ON CR 220 WEST OF LAKESHORE DRIVE WEST TO EAST OF OLD HARD ROAD - BESCH AND SMITH CIVIL GROUP","BESCH AND SMITH CIVIL GROUP","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-190","https://dmcc.clayclerk.com/Documents/Download/18622","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-05-06","2024/2025-30 AM4","FOURTH AMENDMENT TO AGREEMENT FOR CR 220 WIDENING – PHASE 1 - KIRBY DEVELOPMENT","KIRBY DEVELOPMENT","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-30","https://dmcc.clayclerk.com/Documents/Download/18754","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-05-06","2025/2026-0150","XONAR TRUEPORT AND TRUESCAN","Xonar","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18624","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-05-06","2025/2026-0154","AGREEMENT FOR DIRT ROAD PAVING OF LAKEVIEW STREET AND HILLTOP STREET - MALOY GRADING CORPORATION","MALOY GRADING CORPORATION","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18623","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-05-08","2020/2021-219 WOS","STATE HIGHWAY LIGHTING AND MAINTENANACE AND COMPENSATION AGREEMENT WORK ORDER",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2020/2021-219 WOS","https://dmcc.clayclerk.com/Documents/Download/18694","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-05-11","2025/2026-0158","FABRICATION OF CUSTOM SIGNS - CITY OF KEYSTONE HEIGHTS - UTILIZATION OF CLAY SIHN SHOP","UTILIZATION OF CLAY SIHN SHOP","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18647","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-05-12","2021/2022-198 AM6","SIXTH AMENDMENT TO AGREEMENT FOR PROFESSIONAL ENGINEERING SERVICES FOR STORMWATER MODELING AND VULNERABILITY ASSESSMENT - JONES EDMUNDS AND ASSOCIATES","JONES EDMUNDS AND ASSOCIATES","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-198","https://dmcc.clayclerk.com/Documents/Download/18679","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-05-12","2024/2025-164 AM3","THIRD AMENDMENT TO AGREEMENT FOR GREENWAY TRAIL AND PAVING PROJECT - BESCH AND SMITH CIVIL GROUP","BESCH AND SMITH CIVIL GROUP","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-164","https://dmcc.clayclerk.com/Documents/Download/18649","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-05-12","2025/2026-0156","PROBLEM SOLVING COURT CASE MANAGER - VALERIE HENRY - ADULT DRUG COURT MENTAL HEALTH COURT AND VETERANS TREATMENT","ADULT DRUG COURT MENTAL HEALTH COURT AND VETERANS TREATMENT","Legal",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18650","Clerk index metadata verified; document terms and payment chain require document-level review."
