fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Agreement/Contract","2026-03-04","2025/2026-0104","AGREEMENT FOR PURCHASE AND INSTALLATION OF FIRST AID METAL BUILDING AT CLAY COUNTY FAIRGROUNDS - ADVANTAGE CONTRACTING - FIRST AID BUILDING","FIRST AID BUILDING","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16831","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-05","2025/2026-0106","CIS - CENTER FOR INTERNET SECURITY - MS-ISAC SINGLE ORGANIZATION MEMBERSHIP","Center for Internet Security","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16832","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-10","2025/2026-0111","LIEN REDUCTION AGREEMENT - 1940 PEREGRINE PLACE, MIDDLEBURG, FLORIDA 32068 - TRITON",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17621","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-10","2025/2026-0120","MOA - CC /FHP USAGE OF THE CLAY COUNTY GUN RANGE","CC /FHP USAGE OF THE CLAY COUNTY GUN RANGE","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17584","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-12","2025/2026-0110","KINGS III EMERGENCY COMMUNICATION - PRE-CO ACTIVATION AGREEMENT","PRE-CO ACTIVATION AGREEMENT","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16836","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-16","2025/2026-48 AM1","FIRST AMENDMENT TO AGREEMENT FOR FIRE STATION NO. 24 SITE CLEARING SERVICES - CONNER","CONNER","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-48","https://dmcc.clayclerk.com/Documents/Download/16857","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-17","2021/2022-119 RN2","SECOND RENEWAL AND AMENDMENT TO AGREEMENT FOR IT SUPPORT SERVICES - THE SCARLETT GROUP","THE SCARLETT GROUP","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2021/2022-119","https://dmcc.clayclerk.com/Documents/Download/16850","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-17","2025/2026-0103","GWORKS CLOUD OPERATIONS ENTERPRISES BUNDLE AND INSPECTIONS","gWorks","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17589","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-17","2025/2026-0112","SHELTER LUV - HOUNDTOWNE INC - ADOPTION ANIMAL SERVICES",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16851","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-18","2025/2026-0113","AGREEMENT FOR COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) HOUSING REHABILITATION - 972 SANDSTONE DRIVE - KAES SJHP","KAES SJHP","Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18609","Clerk index metadata verified; document terms and payment chain require document-level review."
